Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
198363,Managing With Power: Politics and Influence in Organizations,Jeffrey Pfeffer,"Pfeffer, Jeffrey",,"=""0875844405""","=""9780875844404""",0,3.93,Harvard Business Review Press,Paperback,400,1993,1992,,2020/12/17,to-read,to-read (#51),to-read,,,,0,0
49814228,"The Biggest Bluff: How I Learned to Pay Attention, Master Myself, and Win",Maria Konnikova,"Konnikova, Maria",,"=""052552262X""","=""9780525522621""",0,4.07,Penguin Press,Hardcover,368,2020,2020,,2020/11/23,to-read,to-read (#50),to-read,,,,0,0
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,"Duckworth, Angela",,"=""1443442313""","=""9781443442312""",0,4.08,Collins,Hardcover,277,2016,2016,,2020/11/23,to-read,to-read (#49),to-read,,,,0,0
32452040,Ages of Discord,Peter Turchin,"Turchin, Peter",,"=""0996139540""","=""9780996139540""",0,4.11,Beresta Books,Paperback,274,2016,2016,,2020/11/13,to-read,to-read (#48),to-read,,,,0,0
22155,Let My People Go Surfing: The Education of a Reluctant Businessman,Yvon Chouinard,"Chouinard, Yvon",,"=""0143037838""","=""9780143037835""",0,4.19,Penguin Books,Paperback,272,2006,2006,,2020/10/17,to-read,to-read (#47),to-read,,,,0,0
55291921,"The Leader's Brain: Enhance Your Leadership, Build Stronger Teams, Make Better Decisions, and Inspire Greater Innovation with Neuroscience",Michael L. Platt,"Platt, Michael L.",,"=""1613630980""","=""9781613630983""",0,3.86, Wharton School Press,Kindle Edition,150,2020,,,2020/10/16,to-read,to-read (#46),to-read,,,,0,0
25789,The Book of Five Rings,Miyamoto Musashi,"Musashi, Miyamoto",Thomas Cleary,"=""1590302486""","=""9781590302484""",0,3.96,Shambhala Pubns,Paperback,166,2005,1645,,2020/10/01,to-read,to-read (#45),to-read,,,,0,0
5771014,"The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else",Daniel Coyle,"Coyle, Daniel",John Farrell,"=""1598878735""","=""9781598878738""",0,4.04,HighBridge Company,Audio CD,288,2009,2009,,2020/10/01,to-read,to-read (#44),to-read,,,,0,0
708531,Dinosaurs: A Very Short Introduction,David Norman,"Norman, David",,"=""0192804197""","=""9780192804198""",0,3.71,"Oxford University Press, USA",Paperback,192,2005,2005,,2020/09/27,to-read,to-read (#43),to-read,,,,0,0
44793413,"HBR's 10 Must Reads 2020: The Definitive Management Ideas of the Year from Harvard Business Review (with bonus article ""How CEOs Manage Time"" by Michael E. Porter and Nitin Nohria)",Harvard Business Review,"Review, Harvard Business","Michael E. Porter, Nitin Nohria, Katrina Lake, Paul R. Daugherty","=""1633698122""","=""9781633698123""",0,3.87,Harvard Business Review Press,Paperback,224,2019,2019,,2020/09/27,to-read,to-read (#42),to-read,,,,0,0
51152447,Caste: The Origins of Our Discontents,Isabel Wilkerson,"Wilkerson, Isabel",,"=""0593230256""","=""9780593230251""",0,4.53,Random House,Hardcover,544,2020,2020,,2020/09/27,to-read,to-read (#41),to-read,,,,0,0
